# sweep T E_global
0 325 -6850539.605081902
100 325 -6438732.668780237
200 325 -6376977.03525162
300 325 -6318435.29783391
400 325 -6292960.941008522
500 325 -6384539.324044868
600 325 -6331717.105650841
700 325 -6385801.300193047
800 325 -6379341.902975734
900 325 -6338851.117640966
1000 325 -6341124.16127364
1100 325 -6295372.820948917
1200 325 -6412774.744617058
1300 325 -6331832.874779544
1400 325 -6297082.1224386
1500 325 -6311170.125576523
1600 325 -6313430.105419224
1700 325 -6296016.675286878
1800 325 -6335503.627975367
1900 325 -6305805.179385642
2000 325 -6306722.959618392
2100 325 -6313131.009767277
2200 325 -6314434.37116923
2300 325 -6414411.047419086
2400 325 -6318554.850079231
2500 325 -6310134.968843617
2600 325 -6375840.240909774
2700 325 -6323224.759567602
2800 325 -6263914.623177609
2900 325 -6348751.927396435
3000 325 -6300103.832873855
3100 325 -6356456.952933166
3200 325 -6339237.169633497
3300 325 -6350396.104609152
3400 325 -6313535.227007154
3500 325 -6407163.68981309
3600 325 -6295773.708020888
3700 325 -6373647.411145828
3800 325 -6276675.198727449
3900 325 -6246932.123734543
4000 325 -6336467.681335267
4100 325 -6363210.466886267
4200 325 -6317971.040561187
4300 325 -6369512.292187266
4400 325 -6356542.516899526
4500 325 -6322090.257401049
4600 325 -6344100.528581616
4700 325 -6298023.946889017
4800 325 -6389550.590968508
4900 325 -6328238.230241295
5000 325 -6319004.397875654
5100 325 -6292108.800999866
5200 325 -6289419.919722731
5300 325 -6356001.252934952
5400 325 -6278108.519328551
5500 325 -6361562.071746774
5600 325 -6357563.164550433
5700 325 -6412089.254769554
5800 325 -6292135.248983094
5900 325 -6301447.082646704
6000 325 -6272868.75260598
6100 325 -6346749.135073569
6200 325 -6344216.041634054
6300 325 -6296477.937240964
6400 325 -6341800.694479693
6500 325 -6325666.250087615
6600 325 -6357940.416732777
6700 325 -6366173.697646013
6800 325 -6386752.086378536
6900 325 -6326109.524625099
7000 325 -6270245.718120296
7100 325 -6311221.335763684
7200 325 -6416012.616937276
7300 325 -6263111.95200649
7400 325 -6362710.015193278
7500 325 -6278646.911696242
7600 325 -6371642.56935385
7700 325 -6267374.47298154
7800 325 -6296170.721396396
7900 325 -6359020.63197778
8000 325 -6367244.847235949
8100 325 -6335271.253832924
8200 325 -6341966.598209639
8300 325 -6405083.291688934
8400 325 -6363389.976488016
8500 325 -6377111.609570011
8600 325 -6351151.756891536
8700 325 -6312530.427397847
8800 325 -6300266.204087211
8900 325 -6328965.44173085
9000 325 -6414430.576976611
9100 325 -6258753.605760776
9200 325 -6379801.164929853
9300 325 -6377644.90478563
9400 325 -6414047.272736723
9500 325 -6327875.929663049
9600 325 -6365880.827505007
9700 325 -6307691.739318375
9800 325 -6317844.895915941
9900 325 -6361012.752579832
10000 325 -6314827.241558243
10100 325 -6369948.623600908
10200 325 -6276411.365574881
10300 325 -6346830.92235126
10400 325 -6357429.646032192
10500 325 -6317156.380140452
10600 325 -6379882.813681524
10700 325 -6335135.489215551
10800 325 -6385919.228137104
10900 325 -6394814.938526478
11000 325 -6248718.066838863
11100 325 -6390299.517805031
11200 325 -6342545.640413916
11300 325 -6415417.436618347
11400 325 -6375332.929389165
11500 325 -6386914.007877148
11600 325 -6331442.503837472
11700 325 -6351289.524652906
11800 325 -6267957.430125093
11900 325 -6349979.99601395
12000 325 -6383417.363352679
12100 325 -6382610.870960962
12200 325 -6377646.944517927
12300 325 -6349537.429127188
12400 325 -6251189.861923972
