# sweep T E_global
0 325 -846021.7221198292
100 325 -6226173.687475171
200 325 -6292584.780025544
300 325 -6271946.007436836
400 325 -6290823.86220842
500 325 -6433691.49553718
600 325 -6340188.923838555
700 325 -6265566.445327545
800 325 -6338293.562723368
900 325 -6395961.596860222
1000 325 -6347271.355536915
1100 325 -6385225.093005771
1200 325 -6303060.455204847
1300 325 -6334679.199059204
1400 325 -6383618.903620968
1500 325 -6320873.781630084
1600 325 -6345690.82933633
1700 325 -6357894.93636306
1800 325 -6350790.534321507
1900 325 -6292134.169156288
2000 325 -6315684.095141715
2100 325 -6347846.996084086
2200 325 -6300585.943765432
2300 325 -6401531.014092613
2400 325 -6337961.353361801
2500 325 -6298394.173865359
2600 325 -6302638.657026741
2700 325 -6343866.16081225
2800 325 -6277317.836810967
2900 325 -6285466.699799193
3000 325 -6353795.054708818
3100 325 -6340035.850523749
3200 325 -6318100.16017627
3300 325 -6340172.248629691
3400 325 -6346673.971678384
3500 325 -6374745.867737962
3600 325 -6326554.266476015
3700 325 -6317591.279758241
3800 325 -6245692.357980938
3900 325 -6368176.871398444
4000 325 -6336352.031545619
4100 325 -6278710.080616856
4200 325 -6346715.969458917
4300 325 -6388251.242487297
4400 325 -6318520.959751024
4500 325 -6360957.722189192
4600 325 -6257806.383002413
4700 325 -6251009.447915977
4800 325 -6384014.543243285
4900 325 -6410810.589387268
5000 325 -6324171.328258606
5100 325 -6311186.431431133
5200 325 -6304328.32796693
5300 325 -6322085.50633366
5400 325 -6299082.548480341
5500 325 -6383305.954158843
5600 325 -6317684.360962994
5700 325 -6303099.439421495
5800 325 -6373041.576667199
5900 325 -6309615.126778204
6000 325 -6385361.975495473
6100 325 -6403060.544884143
6200 325 -6314852.704048034
6300 325 -6350655.066548586
6400 325 -6313434.01409742
6500 325 -6371437.913267061
6600 325 -6324120.784038476
6700 325 -6359369.875855621
6800 325 -6363207.200066722
6900 325 -6360217.301884999
7000 325 -6307417.844470227
7100 325 -6328799.072690237
7200 325 -6354406.250988785
7300 325 -6259659.709890048
7400 325 -6377186.946467916
7500 325 -6286217.608526181
7600 325 -6314205.544671602
7700 325 -6297436.087749336
7800 325 -6343930.183580766
